feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	收入	feature49	feature50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	7	0	0	0	5	5	6	1	1	0	0	0	0	0	0	0	0	0	0	35	7	699	34	35	700	7	7	5	5	1	100	9	0	0	2	0	2	66	1	13	35	272	195	0	7757	27.85714286	38.8	42	498
3	0	3	0	0	0	1	1	1	1	1	0	0	0	0	0	0	17	1	0	0	0	0	0	0	33	300	3	3	0	11	1	0	9	1	0	2	0	2	282	1	6	15	0	0	0	3100	0	0	0	0
1	1	0	0	0	0	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	100	1	1	0	3	1	0	9	2	0	1	1	3	111	1	43	56	18	15	0	4200	15	18.4	0	0
4	0	4	0	0	0	3	3	3	1	1	0	0	0	0	0	1	20	10	0	0	48	4	358	45	48	400	4	4	11	12	1	90	9	5	0	3	0	2	83	1	75	60	222	180	0	3975	45	55.49	4	469
3	0	3	0	0	0	6	6	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	300	3	3	0	5	1	0	9	4	0	17	0	0	0	1	6	9	0	0	0	5700	0	0	4	127
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	4	0	0	0	45	45	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	171	120	0	12600	30	42.73	0	0
2	1	2	0	0	0	9	9	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	200	2	2	0	5	1	0	9	12	0	3	0	0	0	1	3	10	0	0	2	7650	0	0	0	0
1	0	1	0	2	0	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	4	4	395	3	4	400	4	4	1	1	1	99	9	12	1	10	2	0	0	1	2	5	46	45	0	5400	45	45.94	0	0
2	2	2	0	0	0	14	14	9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	200	2	2	0	6	1	0	9	31	7	11	12	3	126	1	8	10	0	0	1	7350	0	0	0	0
6	0	5	0	2	0	5	5	4	1	1	0	0	0	0	0	0	0	0	0	0	42	5	495	38	45	700	6	6	8	8	1	85	9	0	0	0	0	1	158	1	25	42	143	75	0	7850	12.5	23.76	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	300	3	3	0	5	1	0	9	1	0	9	0	2	66	1	7	18	0	0	0	0	0	0	1	295
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	4	0	0	0	7	7	14	1	1	0	0	0	0	0	0	0	0	0	0	15	3	279	10	25	500	5	5	3	5	1	93	9	4	0	3	5	0	0	1	13	26	139	105	0	7875	26.25	34.77	8	411
6	0	6	0	0	0	15	15	10	1	1	1	0	0	0	0	0	0	0	0	0	43	6	470	26	43	600	6	6	4	7	1	78	9	8	1	22	6	7	337	1	13	91	8	0	2	8000	0	1.28	0	0
3	0	0	0	0	0	6	5	5	1	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	88	700	7	7	0	13	1	0	9	4	0	3	0	0	0	1	2	29	131	75	0	3100	25	43.78	1	287
2	0	2	0	2	0	8	8	7	1	1	0	0	0	0	0	0	0	0	0	0	11	2	180	10	11	200	2	2	5	6	1	90	9	0	0	1	0	1	706	1	24	43	68	60	0	8400	30	33.78	1	353
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	232	21	32	26	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	232	21	32	26	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	232	21	32	26	0	0	0	0	0	0	0	1	0	0	0	0	0
4	1	4	0	0	0	7	4	4	1	1	0	0	0	0	0	1	14	17	0	0	0	0	0	0	64	400	4	4	0	16	1	0	9	11	0	18	6	6	2116	1	46	95	198	180	0	3525	45	49.52	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	232	21	32	26	0	0	0	0	0	0	0	1	0	0	0	0	0
3	0	3	0	1	0	13	11	4	1	0	0	0	0	0	0	0	0	0	0	0	10	2	175	7	15	300	3	3	4	5	1	88	9	16	0	19	2	2	321	1	45	71	171	60	0	7600	20	56.83	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	11	5	2	313	1	5	28	0	0	0	0	0	0	0	0
1	0	1	0	4	0	13	13	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	4	0	0	0	0	0	0	0	0	0	12900	0	0	0	0
2	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	4	307	7	19	400	4	4	2	5	1	77	9	25	0	24	0	2	133	1	20	78	0	0	0	1650	0	0	31	1848
7	1	6	0	0	0	8	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	19	0	14	19	0	0	0	0	0	618	60	0	7071	8.571428571	88.33	0	0
1	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	300	3	3	0	6	1	0	9	14	1	20	2	5	35	1	10	18	0	0	1	300	0	0	2	17
5	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	66	6	0	0	0	96	5	450	86	96	500	5	5	17	19	1	90	9	1	1	1	0	1	115	1	30	45	0	0	0	8340	0	0	31	656
1	0	1	0	1	0	8	8	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	4	1	0	0	0	0	0	3	0	0	9600	0	3.24	0	0
3	0	3	0	9	0	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	19	3	295	18	19	300	3	3	6	6	1	98	8	1	0	5	0	0	0	1	12	32	0	0	0	8400	0	0	4	486
1	1	0	0	0	0	21	21	18	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	300	3	3	0	6	1	0	8	1	0	6	1	2	581	1	1	19	15	15	0	7200	15	15.29	1	2010
5	1	4	0	1	0	7	6	3	1	1	0	0	0	0	0	0	0	0	0	0	33	6	488	20	33	600	6	6	3	6	1	81	8	30	1	19	7	0	0	1	8	12	25	15	0	6480	3	4.96	0	0
1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	100	1	1	0	13	1	0	8	9	0	7	1	3	135	1	1	5	15	15	0	900	15	15.2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	8	4	4	95	1	25	49	0	0	0	0	0	0	2	808
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	200	2	2	0	5	1	0	8	18	0	9	8	2	56	1	6	16	0	0	0	0	0	0	0	0
1	0	1	0	0	0	16	16	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	100	1	1	0	5	1	0	8	2	0	7	0	1	94	1	13	13	30	30	0	8100	30	30.01	0	0
5	0	5	0	0	0	4	3	7	1	1	0	0	0	0	0	0	6	0	0	0	44	3	232	37	111	500	5	5	12	22	1	77	8	1	0	0	1	1	708	1	82	78	0	0	0	6000	0	0	38	179
2	0	2	0	0	0	4	2	3	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	34	200	2	2	0	17	1	0	8	71	5	25	35	2	30	1	26	39	0	0	0	4800	0	0	0	0
1	0	1	0	2	0	16	16	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	14	0	0	0	0	0	0	0	0	0	9600	0	0	0	0
1	0	1	0	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	5	1	96	3	5	100	1	1	3	5	1	96	8	14	0	4	0	1	97	1	10	5	66	45	0	11100	45	65.68	0	0
3	1	2	0	1	0	8	8	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	9	4	0	0	0	0	0	87	30	0	9200	10	29.07	0	0
1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	60	6	0	0	0	18	1	94	12	18	100	1	1	12	18	1	94	8	10	0	14	3	2	634	1	2	4	0	0	0	3300	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	100	1	1	0	4	1	0	8	60	6	58	33	1	71	1	7	8	0	0	0	0	0	0	0	0
3	0	3	0	0	0	28	22	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	67	30	0	8600	10	22.3	0	0
2	2	0	0	0	0	10	10	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	3	10	9	0	0	0	0	0	1026	15	0	8550	7.5	513.08	0	0
5	2	3	0	1	0	8	7	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	500	5	5	0	7	1	0	8	3	1	3	0	0	0	1	43	51	0	0	0	5760	0	0	0	0
2	0	2	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	11	2	190	6	11	200	2	2	3	6	1	95	8	13	4	5	1	1	197	1	6	11	0	0	0	10950	0	0	9	492
2	0	2	0	0	0	18	18	10	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	11	0	0	0	0	0	0	0	0	0	9600	0	0	0	0
5	0	5	4	0	0	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	7	1	100	7	7	100	1	1	7	7	1	100	8	18	3	19	4	1	490	1	6	17	247	195	0	7860	39	49.48	6	1874
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	2	0	0	0	8	8	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	1	36	1	0	0	0	0	0	108	45	0	9300	22.5	54.23	0	0
1	0	1	0	0	0	9	9	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	21	1	0	0	0	0	0	8	0	1	9300	0	7.9	0	0
1	1	0	0	0	0	8	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	165	105	0	5400	105	165.39	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	3	0	11	11	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	9600	0	0	0	0
2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	36	200	2	2	0	18	1	0	7	1	0	3	0	0	0	1	1	32	610	465	0	6300	232.5	305.11	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	1	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	2	0	0	0	6	4	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	600	6	6	0	5	1	0	7	2	0	4	2	2	129	1	38	53	38	30	0	3400	10	12.57	1	293
7	2	5	0	0	0	20	20	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1934	855	0	8014	122.1428571	276.32	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	100	1	1	0	3	1	0	7	2	0	1	2	2	105	1	17	42	0	0	0	0	0	0	0	0
1	0	0	0	0	0	2	2	2	1	1	0	0	0	0	0	0	7	1	0	0	12	1	98	11	12	100	1	1	11	12	1	98	7	7	0	4	0	0	0	1	8	14	34	30	3	4800	30	33.89	0	0
2	0	2	0	2	0	16	16	13	1	1	0	0	0	0	0	0	0	0	0	0	7	1	98	6	14	200	2	2	6	7	1	98	7	0	0	0	0	1	118	1	24	39	271	75	0	7650	37.5	135.26	0	0
1	1	0	0	0	0	8	8	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	1	10	2	0	0	0	0	0	0	0	1	7800	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	100	1	1	0	8	1	0	7	9	0	9	6	0	0	1	0	3	0	0	0	0	0	0	0	0
